ra,dec,clon,clat,oid,fid,transient_flag,astrometricrms,bestastrometricrms,bestchisq,bestcon,bestlineartrend,bestmagrms,bestmaxmag,bestmaxslope,bestmeanmag,bestmedianabsdev,bestmedianmag,bestminmag,bestnabovemeanbystd_1,bestnabovemeanbystd_3,bestnabovemeanbystd_5,bestnbelowmeanbystd_1,bestnbelowmeanbystd_3,bestnbelowmeanbystd_5,bestnconsecabovemeanbystd_1,bestnconsecabovemeanbystd_3,bestnconsecabovemeanbystd_5,bestnconsecbelowmeanbystd_1,bestnconsecbelowmeanbystd_3,bestnconsecbelowmeanbystd_5,bestnconsecfrommeanbystd_1,bestnconsecfrommeanbystd_3,bestnconsecfrommeanbystd_5,bestnmedianbufferrange,bestnpairposslope,bestpercentiles_05,bestpercentiles_10,bestpercentiles_175,bestpercentiles_25,bestpercentiles_325,bestpercentiles_40,bestpercentiles_60,bestpercentiles_675,bestpercentiles_75,bestpercentiles_825,bestpercentiles_90,bestpercentiles_95,bestskewness,bestsmallkurtosis,beststetsonj,beststetsonk,bestvonneumannratio,bestweightedmagrms,bestweightedmeanmag,chisq,con,lineartrend,magrms,maxmag,maxslope,meanmag,medianabsdev,medianmag,minmag,nabovemeanbystd_1,nabovemeanbystd_3,nabovemeanbystd_5,nbelowmeanbystd_1,nbelowmeanbystd_3,nbelowmeanbystd_5,nconsecabovemeanbystd_1,nconsecabovemeanbystd_3,nconsecabovemeanbystd_5,nconsecbelowmeanbystd_1,nconsecbelowmeanbystd_3,nconsecbelowmeanbystd_5,nconsecfrommeanbystd_1,nconsecfrommeanbystd_3,nconsecfrommeanbystd_5,nmedianbufferrange,npairposslope,nbestobs,ngoodobs,nobs,percentiles_05,percentiles_10,percentiles_175,percentiles_25,percentiles_325,percentiles_40,percentiles_60,percentiles_675,percentiles_75,percentiles_825,percentiles_90,percentiles_95,referencemag,referencemagerr,referencemumax,skewness,smallkurtosis,stetsonj,stetsonk,uncalibmeanmag,vonneumannratio,weightedmagrms,weightedmeanmag,dist,angle,id
221.717,58.153,b'14h46m52.10s',b'58d09m11.24s',b'49682005015172',b'2',1,2.823096e-06,2.823096e-06,2.469,1.0,0.0003872982,0.148,20.164,0.026,19.944,0.031,19.888,19.838,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19.86,19.849,19.844,19.842,19.841,19.841,19.84,19.84,19.839,19.839,19.839,19.839,0.683,92.952,0.862,0.797,2.364,0.163,19.932,2.469,1.0,0.0003872982,0.148,20.164,0.026,19.944,0.031,19.888,19.838,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,19.86,19.849,19.844,19.842,19.841,19.841,19.84,19.84,19.839,19.839,19.839,19.839,0.0,0.0,0.0,0.683,92.952,0.862,0.797,19.919,2.364,0.163,19.932,4.566915,107.385051,b'0'
221.716,58.153,b'14h46m51.88s',b'58d09m11.39s',b'49682005033715',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2.899251,114.740163,b'1'
221.716,58.152,b'14h46m51.90s',b'58d09m08.92s',b'49682005031696',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,4.600097,143.104112,b'2'
221.715,58.153,b'14h46m51.67s',b'58d09m10.51s',b'49682005031017',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2.30325,155.276327,b'3'
117.377,28.087,b'07h49m30.59s',b'28d05m11.54s',b'1001122015025851',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.762608,220.168267,b'0'
117.378,28.086,b'07h49m30.67s',b'28d05m10.11s',b'1001122010005075',b'2',0,1.502008e-06,1.502008e-06,3.207,1.0,5.725242e-05,0.217,20.629,26.604,19.947,0.114,19.906,19.385,11,0,0,29,1,0,0,0,0,0,0,0,0,0,0,46,15,19.798,19.714,19.66,19.587,19.56,19.536,19.515,19.515,19.514,19.506,19.498,19.494,0.486,24.718,0.55,0.789,1.772,0.188,19.907,3.161,1.0,6.154417e-05,0.218,20.629,26.604,19.947,0.118,19.906,19.385,12,0,0,30,1,0,0,0,0,0,0,0,0,0,0,46,15,152,156,157,19.795,19.71,19.665,19.589,19.564,19.538,19.515,19.515,19.514,19.508,19.5,19.496,19.813,0.02,22.206,0.476,24.045,0.55,0.792,19.947,1.777,0.188,19.907,2.101523,162.50519,b'1'
117.378,28.086,b'07h49m30.66s',b'28d05m10.04s',b'1001121010001541',b'1',0,2.402886e-06,2.402886e-06,1.328,1.0,-2.381999e-05,0.2,21.45,16.7,20.922,0.169,20.926,20.533,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,13,20.731,20.694,20.661,20.643,20.641,20.64,20.611,20.602,20.595,20.59,20.585,20.582,0.285,2.076,0.053,0.836,1.816,0.196,20.903,1.365,1.0,9.238035e-06,0.202,21.45,16.7,20.911,0.163,20.904,20.533,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,13,45,47,50,20.716,20.687,20.642,20.634,20.62,20.611,20.589,20.583,20.578,20.573,20.57,20.568,20.951,0.089,23.479,0.32,2.23,0.095,0.847,20.916,1.746,0.196,20.891,2.141782,166.794194,b'2'
226.410,30.028,b'15h05m38.35s',b'30d01m40.24s',b'40672070004644',b'2',0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,3,3,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.097573,114.434593,b'0'
322.750,12.177,b'21h30m59.92s',b'12d10m36.22s',b'33132080010493',b'2',0,4.537811e-07,4.537811e-07,21.051,1.0,-2.763562e-05,0.024,14.763,0.761,14.738,0.009,14.752,14.673,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,14.716,14.703,14.701,14.698,14.696,14.692,14.685,14.684,14.683,14.682,14.681,14.681,-0.873,1464.921,4.106,0.85,1.252,0.025,14.739,17.793,1.0,-2.787378e-05,0.087,15.04,6.2,14.739,0.013,14.753,14.298,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,33,15,34,43,62,14.715,14.701,14.697,14.688,14.679,14.674,14.56,14.531,14.508,14.489,14.473,14.464,14.776,0.013,16.725,-2.09,1159.105,4.01,0.824,15.924,1.918,0.025,14.74,3.713356,25.900774,b'0'
322.750,12.177,b'21h30m59.92s',b'12d10m36.21s',b'33131080005363',b'1',0,2.118816e-07,2.118816e-07,1.105,1.0,9.096986e-05,0.006,15.254,0.044,15.245,0.004,15.244,15.237,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,4,15.24,15.239,15.238,15.238,15.237,15.237,15.237,15.237,15.237,15.237,15.237,15.237,0.181,-0.48,-0.08,0.853,1.518,0.005,15.244,8.121,1.0,0.0002818252,0.043,15.254,0.044,15.232,0.004,15.244,15.102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,11,11,15.239,15.237,15.179,15.156,15.143,15.136,15.125,15.122,15.12,15.118,15.117,15.116,15.401,0.051,17.563,-2.395,-0.48,-0.089,0.866,15.349,2.178,0.005,15.244,3.689291,25.482372,b'1'
